,Mean RGB,Red,Green,Blue,Orange,Black,Class,Mean Dist
0,"[120.77501333591194, 103.8379665801892, 121.74198950031068]",208.853495,228.5993793,207.6695079,191.2544206,200.4745349,Apple,"183.65042119898732,
 236.8613933499185,
 257.6993361970571,
 155.6698040005568,
 214.5706725909578"
1,"[182.19487936786945, 118.09794713286254, 87.43162373146697]",163.987803,244.0930867,274.2649447,123.0637111,234.0649226,Apple,
2,"[136.67675233706484, 97.26934935248605, 104.06396138451612]",185.1783608,233.2140666,225.6624663,171.5142561,197.4111674,Apple,
3,"[152.20733889608388, 137.12766730054472, 138.21959773037818]",220.1703557,236.9928649,235.8150409,174.4931383,247.1350407,Apple,
4,"[180.96916248999335, 77.22634673471342, 71.3113633037871]",128.5682078,263.5120872,269.1751505,135.1668955,209.2822423,Apple,
5,"[148.5199808361315, 121.19611339404989, 126.3457901489303]",204.914009,236.48451,230.8648703,170.9386839,229.5864571,Apple,
6,"[115.55147370777489, 77.55939826144572, 65.20593413802632]",172.3750724,221.5606555,235.3495077,177.0411369,153.6860995,Apple,
7,"[110.37807400019013, 63.86672617307738, 51.23000481441216]",166.1895712,226.5827906,240.3840445,183.7605887,137.429223,Apple,
8,"[132.82743795809432, 94.34999075000091, 91.27646163956258]",179.3305555,227.5586654,230.9771548,168.074243,186.7523533,Apple,
9,"[120.45729926817475, 84.43767571759807, 62.226686729471375]",170.597831,217.8844372,242.4896541,168.7133277,159.7242704,Apple,
10,"[131.09373634440246, 129.1374865481785, 39.77707918988759]",183.3343084,186.0353623,283.1659651,134.9855476,188.2664977,Apple,
11,"[114.50488116390595, 92.29451151717109, 83.9970563603663]",187.9166324,215.9628423,225.5474482,179.1102229,169.3669098,Apple,
12,"[119.80155994090767, 107.20824094221602, 73.05205569233244]",187.3734986,203.7925922,242.7984249,164.1801098,176.586023,Apple,
13,"[183.78945169982634, 120.81936353835364, 114.82893363290268]",181.2565717,254.8895638,260.8137439,142.1567966,248.1160316,Apple,
14,"[160.37563345868674, 59.671458158186105, 59.658369154663724]",126.7816023,259.6780778,259.6909307,153.6456751,181.2185083,Apple,
15,"[132.5608693037061, 133.59653953302097, 162.08977096066778]",243.1305615,242.0418933,209.8874225,205.5495364,248.3817894,Apple,
16,"[117.61039081350434, 80.27182725497279, 62.08439037444648]",170.8038129,219.5828088,239.7753172,172.9428793,155.3391187,Apple,
17,"[163.55201769773555, 145.31785686449584, 72.02940361658331]",186.1941137,209.6846919,285.210065,118.0608115,230.336226,Apple,
18,"[118.37567752754944, 63.449716745887656, 56.847507530662156]",161.0084195,232.2411487,239.380613,179.4722949,145.8434321,Apple,
19,"[150.74408065290925, 72.48694751714937, 73.83477343667411]",146.8850845,247.9644449,246.5744811,157.7324804,182.8379315,Apple,
20,"[125.7121683976259, 69.55696762701693, 73.68565091496554]",164.2653046,235.8436827,231.3365821,176.7888316,161.4660837,Apple,
21,"[129.65110246946222, 112.83568835337847, 50.52839244133951]",176.0606632,198.9301845,267.114094,144.8674565,179.149154,Apple,
22,"[179.27472936618895, 176.05149736853562, 149.88887374859863]",243.3004743,246.6555678,272.363557,168.2947613,292.5751746,Apple,
23,"[159.2445137644107, 62.78004606829972, 71.77048199856803]",135.1349304,259.7274108,250.7453003,157.3818103,185.6102137,Apple,
24,"[164.72213596142086, 155.77602924837973, 149.75447308329663]",234.185111,243.7317802,249.9523441,175.1044733,271.7093218,Apple,
25,"[186.7517757177666, 82.22050438764057, 79.00717138387986]",132.891552,266.4040408,269.462266,133.2381257,218.8117232,Apple,
26,"[150.92018217535153, 98.80885726021111, 80.45713493033153]",164.5270474,231.6158998,251.0085724,147.2658359,197.5182073,Apple,
27,"[156.24201333725904, 100.85030241237223, 94.80094031832161]",170.0327666,239.0834881,245.4507872,151.1804945,208.7332473,Apple,
