Mean RGB,Red,Green,Blue,Orange,Black,Class
"[120.77501333591194, 103.8379665801892, 121.74198950031068]",208.85349495753445,228.5993792673013,207.6695079016982,191.25442056202107,200.4745349347192,Apple
"[182.19487936786945, 118.09794713286254, 87.43162373146697]",163.98780300856615,244.0930867014259,274.26494473436003,123.06371106760781,234.0649226458115,Apple
"[136.67675233706484, 97.26934935248605, 104.06396138451612]",185.17836083084418,233.2140665614609,225.6624663203834,171.51425606543012,197.41116739410006,Apple
"[152.20733889608388, 137.12766730054472, 138.21959773037818]",220.1703556632023,236.992864927588,235.8150408845265,174.4931382710542,247.1350407163334,Apple
"[180.96916248999335, 77.22634673471342, 71.3113633037871]",128.56820784574973,263.5120872063759,269.17515051288274,135.16689552628068,209.2822422915153,Apple
"[148.5199808361315, 121.19611339404989, 126.3457901489303]",204.914008967954,236.48450999331936,230.86487026351875,170.93868389361805,229.5864571305237,Apple
"[115.55147370777489, 77.55939826144572, 65.20593413802632]",172.37507241641285,221.56065550587147,235.3495076925706,177.04113692666596,153.6860995065226,Apple
"[110.37807400019013, 63.86672617307738, 51.23000481441216]",166.1895712289012,226.58279055805082,240.3840445412149,183.76058866941653,137.42922296710765,Apple
"[132.82743795809432, 94.34999075000091, 91.27646163956258]",179.33055545513454,227.55866539416758,230.97715480605063,168.07424303666158,186.75235334119674,Apple
"[120.45729926817475, 84.43767571759807, 62.226686729471375]",170.59783100066517,217.88443715172872,242.48965408212828,168.7133277347233,159.724270444102,Apple
"[131.09373634440246, 129.1374865481785, 39.77707918988759]",183.33430839302832,186.03536231056785,283.1659650854117,134.98554764511317,188.26649773551128,Apple
"[114.50488116390595, 92.29451151717109, 83.9970563603663]",187.91663244685918,215.96284233636754,225.54744822314703,179.11022290618004,169.36690982526665,Apple
"[119.80155994090767, 107.20824094221602, 73.05205569233244]",187.37349855625757,203.79259223667725,242.79842488777646,164.18010978885528,176.5860230343126,Apple
"[183.78945169982634, 120.81936353835364, 114.82893363290268]",181.25657172718948,254.88956384411833,260.81374390247316,142.1567966248434,248.11603164891466,Apple
"[160.37563345868674, 59.671458158186105, 59.658369154663724]",126.78160226256448,259.6780777723033,259.6909306604966,153.64567511017574,181.21850826058946,Apple
"[132.5608693037061, 133.59653953302097, 162.08977096066778]",243.13056153216098,242.0418933449194,209.88742245759622,205.54953637760167,248.38178938044962,Apple
"[117.61039081350434, 80.27182725497279, 62.08439037444648]",170.8038128714838,219.58280876764456,239.7753171520296,172.94287929052138,155.3391187252074,Apple
"[163.55201769773555, 145.31785686449584, 72.02940361658331]",186.194113699134,209.68469186175295,285.21006496544555,118.0608114952731,230.3362259872536,Apple
"[118.37567752754944, 63.449716745887656, 56.847507530662156]",161.00841952717326,232.24114871677185,239.3806129515311,179.47229488836237,145.84343213764697,Apple
"[150.74408065290925, 72.48694751714937, 73.83477343667411]",146.88508449705182,247.96444492496016,246.57448109645486,157.73248038069636,182.837931460323,Apple
"[125.7121683976259, 69.55696762701693, 73.68565091496554]",164.26530460408213,235.84368274279143,231.33658208944962,176.78883160357245,161.46608368156174,Apple
"[129.65110246946222, 112.83568835337847, 50.52839244133951]",176.0606631846195,198.9301845377185,267.114094041012,144.86745654008402,179.1491540042368,Apple
"[179.27472936618895, 176.05149736853562, 149.88887374859863]",243.30047433552357,246.65556780801435,272.36355699113244,168.29476129777188,292.5751745938933,Apple
"[159.2445137644107, 62.78004606829972, 71.77048199856803]",135.13493040238984,259.7274108365833,250.74530028584485,157.38181029686956,185.61021371333044,Apple
"[164.72213596142086, 155.77602924837973, 149.75447308329663]",234.18511103871666,243.73178015159826,249.9523440579412,175.10447333021148,271.7093218359295,Apple
"[186.7517757177666, 82.22050438764057, 79.00717138387986]",132.89155198701616,266.40404082498844,269.4622660036096,133.23812570580702,218.81172319046067,Apple
"[150.92018217535153, 98.80885726021111, 80.45713493033153]",164.5270473590235,231.6158997551765,251.0085723787906,147.26583587787323,197.51820731797775,Apple
"[156.24201333725904, 100.85030241237223, 94.80094031832161]",170.03276658215918,239.08348810253565,245.45078722880706,151.1804944941648,208.73324726450537,Apple
"[117.92940020299999, 91.42450084073522, 64.7646995328726]",177.0346152261478,211.79885189260406,241.77521032983339,168.51163078798916,162.666066196365,Apple
"[145.50147220005232, 41.30723079214759, 51.4321059036565]",127.83378435983423,263.59161508247564,253.60767582018977,173.0176010189365,159.75677527348654,Apple
"[152.52384462865027, 121.28740550028141, 124.75703636040821]",201.93146182334965,238.13210457555493,234.38725965998742,167.26168556792095,231.38382837771215,Apple
"[131.0747167084841, 86.36184008241494, 61.291046087409434]",163.01053828446808,222.20711660765346,249.32329936959383,159.0535393023214,168.50976563130968,Apple
"[153.9944994528083, 114.74929934941105, 99.92190412028711]",182.63050064267287,231.0172110855075,246.84189957253844,150.70378555194856,216.48578356540082,Apple
"[219.1689753316496, 206.23571515223733, 99.73411197695243]",231.87049321759335,245.68249493293217,338.63801608187106,113.71516884185539,317.0411693205021,Apple
"[169.01591942072517, 129.0079552780921, 93.74700261484038]",181.17619914703016,230.71384191267586,266.85569641355903,132.20132335038835,232.3745554959367,Apple
"[150.22057350778692, 116.35587094550286, 96.13332390849766]",183.73631346366926,225.89827620410165,247.67626083429403,150.28837437807286,212.94723612714736,Apple
"[129.12894763618058, 81.28195832984062, 80.1978054428628]",169.94695222615965,230.83312396013267,232.0276903508559,171.12545199973377,172.37380852499805,Apple
"[136.7947080357079, 138.4594195054331, 105.41738949976643]",210.3718800293673,208.34424651890598,245.47659839671206,160.59177896236653,221.35182177994727,Apple
"[153.74160500090758, 87.73080132639986, 82.01080194477817]",157.08509698501032,241.53930853753192,247.50441865432646,151.49113260213664,195.08702223688013,Apple
"[169.76394417661285, 129.84192520106163, 122.14961831932368]",197.59716599132213,243.73114221480446,251.65044445623295,153.0418396761218,246.16915228735436,Apple
"[243.4699421057517, 223.55871755108126, 114.3315777635016]",251.36259089614043,270.80966863260693,359.22655513835275,128.97199428621565,349.75394576180815,Apple
"[151.5636406918969, 114.17451871609175, 112.55935442641568]",190.79965780854445,235.52698704717105,237.2692466697972,161.09599077428146,220.6285706175088,Apple
"[114.97938027680273, 77.0657431731361, 53.877325429114286]",168.66436764738035,218.59465646890973,244.15101246198384,173.8993204896321,148.5333392038975,Apple
"[99.1947767748416, 57.08684155250105, 47.07567654147934]",172.48273648258188,226.33016004923752,237.34160087000032,195.28603808822186,123.75229508857201,Apple
"[188.68274299180902, 100.5939816456943, 93.42949171938751]",152.46703789136797,261.09666012778933,268.00252945131473,131.43509310792425,233.34394478792552,Apple
"[135.613972070729, 84.2538750966483, 81.89636244865771]",167.50747241795574,232.92145193741464,235.48828892985009,165.7708494698578,179.43488811244038,Apple
"[214.51694465898757, 104.16865227857762, 97.12873282148375]",148.06747322347965,279.6455001261328,285.9929451296182,121.54555267411165,257.49294825852905,Apple
"[223.2483103255896, 180.07036121243544, 150.63477415208843]",236.90576178769422,279.5444401448835,305.2167154935872,154.68070586890929,323.96910073996014,Apple
"[164.72991705749274, 125.11929228641081, 120.8969500111768]",196.00917758794975,242.1177736804058,246.52466589030305,156.06162643067915,239.59727752632273,Apple
"[153.53864304867065, 123.02619619578032, 148.58451525759958]",217.96148760536468,251.13454157904607,223.68239817336945,184.752714011286,246.55003150266595,Apple
"[169.70509832446356, 158.0170353042091, 108.051142622754]",209.57016276238804,223.33957387929172,274.5235336508069,137.8369742480762,255.82074440070383,Apple
"[148.26196009169502, 113.87486667889867, 78.76734322899871]",174.8278833137287,219.32215215177166,256.91835937498485,142.1656877728314,202.86297944850165,Apple
"[129.6696477375601, 78.39120974139624, 53.59680103824341]",157.2434292569324,225.56041191335743,252.03699700863643,161.49735858465036,160.72341581311528,Apple
"[236.01021606662974, 205.42047770590125, 112.25980987011798]",234.8626182831823,266.00980438849115,343.90864575792915,120.81676963023132,332.41639499400895,Apple
"[207.1125815146274, 207.82129011692342, 118.83781999432132]",244.14200977312032,243.40065642657459,323.45857433590237,135.08995224469376,316.55605745036434,Apple
"[95.48261216657278, 91.76563140361158, 58.60277471670559]",193.1347025591219,197.98149792773745,236.87492571404164,185.04960137597882,144.81762854553517,Apple
"[181.7653692426145, 139.6304780600472, 126.77124240890875]",202.31393784746078,249.83939631382304,262.63650571186054,148.58624326474725,261.9279820123837,Apple
"[175.57411403006162, 98.55940078239739, 93.60461686597088]",157.43014686939756,253.10423722179928,258.0478535020324,139.58742380719315,222.0406478522604,Apple
"[156.22501128459552, 112.38025121777964, 139.79541037359684]",204.76468450643995,253.553551848713,224.2937192291198,179.07566311242465,237.86200153905543,Apple
"[130.88418735189526, 99.90578018589007, 88.69871553496414]",182.35504380576728,221.4776504662851,234.02553840988847,165.8597435789034,187.02753153177713,Apple
"[123.65371903943094, 112.01889432647818, 106.03979044380195]",202.5944603528558,216.7447253551301,223.6685470723044,176.92733038715943,197.6939859372931,Apple
"[171.9651916535595, 72.93538042391845, 68.71072875638879]",130.13651816821383,259.6935060567799,263.8091913457583,141.74568007898074,199.02954831949245,Apple
"[121.61187874466177, 64.9362091960855, 69.66053300967211]",163.89536911083917,236.14885874327683,230.99107848750984,180.7145345047542,154.4627792568673,Apple
"[161.7061004481496, 120.12651426850147, 115.73059649923857]",191.1222176774872,240.27752920650187,244.8983648453077,155.27701820087648,232.32049698319153,Apple
"[191.2322675308403, 179.25068282568233, 122.6685378656462]",226.37292501495662,239.4896853299902,293.61914670040875,138.98552387695634,289.3927394053896,Apple
"[157.4999804104502, 96.25371937142795, 81.53481572950054]",159.43324148006212,238.02216623403197,253.30059707020854,144.49993458914983,201.78936666278878,Apple
"[83.12011466939275, 65.07596867803197, 76.78643975498565]",199.18266493571406,221.07973327848694,207.13258608253932,213.12828143430986,130.53732221967493,Apple
"[122.27814669166047, 124.80018366305742, 108.42898056523207]",212.00712255570267,208.95162396817184,228.05721812481013,176.0339723051769,205.6304326384973,Apple
"[220.48073894495346, 194.90244575515857, 172.82140483222463]",262.7656383801213,286.51476443650864,305.5356625842626,178.75394712875666,341.2710910335637,Apple
"[136.97292889903366, 50.738089746959986, 56.07034025212768]",140.17355784823505,252.24669331309394,246.79737950341888,173.58011609437213,156.46028268650056,Apple
"[120.2396738467904, 101.29665016732316, 25.925341264701252]",170.5681100315405,196.8614290211772,277.8377040226851,151.29635026832293,159.34463850909702,Apple
"[212.99873913595815, 189.36047044932465, 118.65307177122571]",227.3764392449369,252.49863792482043,315.93723344949393,128.2033146039109,308.71411059918387,Apple
"[155.94915476243366, 163.11636670223498, 64.91638280059298]",201.57419424203943,192.2937276538909,295.0574003221512,118.44304442469338,234.82168705885877,Apple
