,Distance
"['16', '69', '87', '103', '114', '140', '198', '217', '257', '263']",2.7034184781386412
"['20', '25', '55', '81', '101', '127', '128', '152', '210', '256']",3.3312391216137884
"['23', '35', '37', '45', '70', '124', '207', '243', '285', '288']",3.0099226765144933
"['5', '44', '55', '115', '131', '137', '144', '199', '223', '227']",2.9618692819431702
"['46', '50', '84', '95', '135', '157', '195', '224', '243', '280']",3.178622359290938
"['69', '73', '100', '169', '178', '225', '230', '245', '270', '297']",2.942923743514393
"['55', '72', '79', '85', '98', '110', '134', '174', '181', '296']",3.1893843158201434
"['30', '42', '86', '122', '129', '134', '179', '223', '271', '285']",2.920713504292489
"['41', '75', '80', '86', '116', '128', '187', '197', '274', '276']",3.124566888339646
"['10', '131', '158', '167', '168', '182', '187', '195', '241', '284']",2.748996752517022
"['5', '21', '63', '83', '92', '118', '124', '129', '172', '250']",3.142050219425822
"['34', '67', '106', '167', '194', '195', '218', '242', '258', '297']",2.7295987931094614
"['24', '41', '58', '85', '88', '106', '159', '207', '245', '288']",2.9224401390941077
"['48', '97', '124', '143', '185', '196', '202', '243', '269', '290']",2.915479791501838
"['49', '50', '75', '96', '127', '140', '151', '153', '164', '283']",3.05988276437957
"['0', '27', '160', '166', '218', '234', '256', '275', '292', '293']",2.9971501160096934
"['20', '36', '64', '68', '79', '120', '175', '181', '185', '260']",2.7072538730722133
"['22', '45', '58', '173', '181', '195', '215', '247', '282', '284']",3.250347817026158
"['1', '31', '40', '64', '92', '163', '172', '225', '264', '292']",2.760019880292797
"['2', '16', '190', '216', '227', '240', '242', '264', '292', '297']",2.855397869643472
"['49', '53', '58', '117', '160', '182', '195', '236', '262', '296']",3.3152797395163636
"['13', '29', '39', '54', '59', '126', '146', '188', '215', '249']",3.0029384779559156
"['23', '60', '71', '111', '179', '192', '238', '257', '286', '292']",2.72388191699278
"['2', '38', '134', '153', '157', '190', '199', '204', '252', '280']",2.9116732519210236
"['73', '75', '139', '157', '162', '164', '179', '226', '260', '274']",2.887692997016684
"['3', '19', '75', '77', '80', '129', '169', '204', '214', '248']",3.0750926394276874
"['12', '32', '35', '87', '118', '140', '145', '166', '184', '191']",2.8953580098830742
"['21', '33', '40', '49', '60', '157', '165', '206', '216', '292']",2.7685612834312883
"['10', '60', '70', '82', '106', '108', '112', '160', '216', '238']",2.668656421176859
"['26', '70', '98', '130', '176', '184', '190', '202', '239', '247']",2.9255968533126033
"['1', '34', '52', '79', '87', '156', '187', '208', '248', '267']",2.547938435625423
"['59', '90', '99', '147', '193', '233', '248', '258', '265', '284']",2.7505507126944737
"['36', '91', '107', '131', '138', '147', '201', '212', '222', '290']",3.2201354951815913
"['55', '85', '112', '175', '194', '201', '205', '224', '240', '287']",3.106890854375375
"['49', '60', '77', '124', '145', '156', '225', '226', '249', '261']",3.201448768424593
"['6', '22', '54', '150', '151', '200', '208', '218', '274', '292']",2.8383671706302405
"['1', '28', '98', '107', '194', '216', '233', '236', '254', '290']",3.2688096016888775
